iter	Passed	Remaining
0	143	143091
1	146	72979
2	152	50610
3	160	39861
4	167	33393
5	175	29072
6	182	25872
7	189	23546
8	196	21671
9	204	20206
10	211	19047
11	218	18018
12	226	17169
13	232	16352
14	238	15646
15	245	15071
16	252	14605
17	257	14069
18	263	13592
19	268	13157
20	273	12732
21	277	12317
22	280	11914
23	284	11549
24	286	11189
25	289	10845
26	292	10536
27	295	10247
28	298	9987
29	301	9744
30	304	9512
31	307	9287
32	309	9081
33	312	8882
34	315	8693
35	317	8514
36	320	8348
37	323	8189
38	326	8035
39	328	7893
40	331	7755
41	334	7623
42	336	7497
43	340	7396
44	343	7289
45	346	7184
46	349	7078
47	351	6981
48	354	6884
49	357	6795
50	360	6705
51	363	6624
52	366	6542
53	368	6464
54	371	6384
55	374	6311
56	377	6241
57	380	6172
58	382	6104
59	385	6042
60	388	5980
61	391	5922
62	394	5865
63	397	5809
64	400	5760
65	403	5705
66	405	5651
67	408	5596
68	410	5544
69	413	5493
70	416	5446
71	418	5400
72	421	5357
73	424	5316
74	427	5272
75	430	5232
76	433	5191
77	435	5152
78	438	5111
79	441	5073
80	444	5037
81	446	5002
82	449	4966
83	452	4931
84	454	4896
85	457	4861
86	459	4826
87	462	4794
88	465	4762
89	468	4732
90	470	4704
91	473	4674
92	476	4645
93	478	4616
94	481	4588
95	484	4560
96	486	4531
97	489	4503
98	491	4477
99	494	4452
100	497	4426
101	500	4402
102	502	4377
103	505	4352
104	507	4329
105	510	4306
106	513	4283
107	515	4260
108	518	4237
109	521	4216
110	523	4195
111	526	4175
112	529	4154
113	532	4135
114	534	4115
115	537	4096
116	540	4077
117	543	4058
118	545	4040
119	548	4025
120	551	4009
121	554	3993
122	557	3976
123	560	3959
124	563	3943
125	566	3927
126	569	3911
127	571	3895
128	574	3877
129	577	3863
130	580	3848
131	582	3832
132	585	3815
133	587	3799
134	590	3783
135	593	3769
136	596	3755
137	598	3739
138	601	3725
139	603	3710
140	606	3696
141	609	3683
142	612	3669
143	614	3654
144	617	3640
145	619	3626
146	622	3612
147	625	3600
148	628	3587
149	630	3574
150	633	3562
151	636	3550
152	639	3539
153	642	3527
154	644	3515
155	647	3504
156	650	3491
157	653	3480
158	655	3467
159	658	3456
160	661	3444
161	663	3432
162	666	3421
163	669	3411
164	671	3400
165	674	3388
166	677	3377
167	679	3365
168	682	3356
169	685	3345
170	688	3335
171	690	3325
172	693	3315
173	696	3305
174	698	3294
175	701	3284
176	704	3275
177	706	3264
178	709	3254
179	712	3245
180	715	3236
181	718	3227
182	721	3218
183	723	3209
184	726	3199
185	729	3190
186	731	3181
187	734	3171
188	737	3162
189	739	3153
190	742	3146
191	745	3138
192	748	3129
193	751	3121
194	754	3112
195	756	3104
196	759	3096
197	762	3087
198	764	3079
199	767	3070
200	770	3061
201	772	3053
202	775	3045
203	778	3036
204	781	3028
205	783	3021
206	786	3013
207	789	3005
208	791	2996
209	794	2988
210	797	2981
211	799	2972
212	802	2964
213	805	2957
214	807	2950
215	810	2942
216	813	2935
217	816	2927
218	818	2920
219	821	2913
220	824	2905
221	827	2898
222	830	2892
223	832	2885
224	835	2878
225	838	2872
226	841	2864
227	843	2857
228	846	2850
229	849	2843
230	851	2835
231	854	2828
232	857	2822
233	860	2815
234	863	2810
235	866	2804
236	869	2797
237	871	2790
238	874	2783
239	877	2778
240	880	2772
241	882	2765
242	885	2758
243	888	2753
244	891	2747
245	894	2741
246	897	2735
247	900	2730
248	903	2723
249	905	2717
250	909	2713
251	912	2707
252	914	2701
253	917	2695
254	920	2689
255	923	2684
256	926	2679
257	929	2673
258	932	2667
259	935	2662
260	938	2658
261	941	2653
262	944	2646
263	947	2641
264	950	2635
265	952	2629
266	955	2623
267	958	2617
268	961	2611
269	963	2605
270	966	2601
271	969	2595
272	972	2590
273	975	2584
274	978	2578
275	980	2572
276	983	2567
277	986	2562
278	989	2556
279	992	2551
280	994	2545
281	998	2542
282	1001	2536
283	1003	2530
284	1006	2525
